"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
National,X,2017,40,998,13,123,3,5,0,16,1
National,X,2017,41,989,14,143,1,6,4,11,0
National,X,2017,42,1181,14,173,0,2,1,11,0
National,X,2017,43,1346,26,175,4,8,1,20,0
National,X,2017,44,1491,23,246,2,16,3,34,0
National,X,2017,45,1520,28,314,2,12,4,30,0
National,X,2017,46,1825,56,402,2,33,5,61,0
National,X,2017,47,1567,41,485,0,11,5,60,0
National,X,2017,48,2260,61,752,10,27,8,95,1
National,X,2017,49,2584,70,977,9,39,15,91,0
National,X,2017,50,3253,128,1366,17,42,35,161,0
National,X,2017,51,4502,223,2257,59,96,38,221,0
National,X,2017,52,5027,270,2726,50,122,30,322,0
National,X,2018,1,5905,296,3061,38,191,39,399,0
National,X,2018,2,6322,357,3108,69,198,40,424,0
National,X,2018,3,5787,369,2537,49,188,38,462,0
National,X,2018,4,6267,488,2528,35,253,50,588,0
National,X,2018,5,5792,443,2097,39,308,67,568,0
National,X,2018,6,3716,295,1165,20,221,47,518,0
National,X,2018,7,1681,143,469,24,73,31,245,0
