"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972265146184798208",2018-03-10 00:17:29,"x928934761","HealthyWrld","The flu — while still active — continues to slow https://t.co/sPtV5Me53p https://t.co/6vN9gZeY3P","Twitter for Mac",,,,FALSE,FALSE,0,0,,,"goo.gl/GeDw1j","https://t.co/sPtV5Me53p","https://goo.gl/GeDw1j","http://pbs.twimg.com/media/DX4t_0GWsAAOpah.jpg","https://t.co/6vN9gZeY3P","https://twitter.com/HealthyWrld/status/972265146184798208/photo/1","photo","http://pbs.twimg.com/media/DX4t_0GWsAAOpah.jpg","https://t.co/6vN9gZeY3P","https://twitter.com/HealthyWrld/status/972265146184798208/photo/1",,,,"en",,,,,,,,,,,,,
"x972265113788076033",2018-03-10 00:17:21,"x937891707240308736","gripleyauthor","RT @AMZ0NE A scifi author contemplates fighting the flu. Don't miss this post by Steve Mcellistrem. https://t.co/LLJXFIeexb","The Social Jukebox",,,,FALSE,FALSE,0,0,,,"mcellistrem.com/2017/04/12/fig…","https://t.co/LLJXFIeexb","http://www.mcellistrem.com/2017/04/12/fighting-the-flu/",,,,,,,,,"x3246924024","AMZ0NE","en",,,,,,,,,,,,,
"x972265082481717248",2018-03-10 00:17:14,"x2338761072","iowacityjournal","This season’s Iowa flu death total more than double last year https://t.co/wKUxzV9mgl","Hootsuite",,,,FALSE,FALSE,0,0,,,"ow.ly/KiZv50gNehZ","https://t.co/wKUxzV9mgl","http://ow.ly/KiZv50gNehZ",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972264973165572096",2018-03-10 00:16:48,"x138484241","neaira","@theworrierqueen It is. He had influenza a in January and now he has b. 😷","Twitter for iPhone","x972259109574717440","x461690669","theworrierqueen",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x461690669","theworrierqueen","en",,,,,,,,,,,,,
"x972264951237824512",2018-03-10 00:16:42,"x890280870627733505","JMONEILL1975","RT @SNCCLA: WHO changes 2 strains for 2018-19 flu vaccine | CIDRAP https://t.co/HGb2BjvV3d","Twitter for Android",,,,FALSE,TRUE,0,0,,,"ow.ly/dq5E30iAjxw","https://t.co/HGb2BjvV3d","http://ow.ly/dq5E30iAjxw",,,,,,,,,"x116289807","SNCCLA","en",,,"x972200738335141888","WHO changes 2 strains for 2018-19 flu vaccine | CIDRAP https://t.co/HGb2BjvV3d",,,,,,,,,
"x972264881838845952",2018-03-10 00:16:26,"x38703290","healthmn1","I am well. It seems half of Rochester, MN has the flu, but not me. Horray! https://t.co/9qOcYQLGhX","Twitter Web Client",,,,TRUE,FALSE,0,0,,,"twitter.com/LauraLibricz/s…","https://t.co/9qOcYQLGhX","https://twitter.com/LauraLibricz/status/972126487414562817",,,,,,,,,,,"en","x972126487414562817","@healthmn1 Hope you are well, Harriet! Have a great weekend!",,,,,,,,,,,
"x972264878181269504",2018-03-10 00:16:25,"x18279249","darlingdarling","I work in public education, therefore I have had the flu 3 times this season. 😷🤧🤒","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/ab2f2fac83aa388d.json","Oakland","Oakland, CA","city","United States","US",,,"-122.34266 -122.114711 -122.114711 -122.34266 37.699279 37.699279 37.8847092 37.8847092"
"x972264875455143936",2018-03-10 00:16:24,"x60017790","farhanaz__","RT @eemanabbasi: name someone more dramatic than a man w the flu https://t.co/4gaDASGEU3","Twitter Web Client",,,,FALSE,TRUE,0,201,,,,,,"http://pbs.twimg.com/media/DW7LS1_XUAA8ESg.jpg","https://t.co/4gaDASGEU3","https://twitter.com/eemanabbasi/status/967934508543676416/photo/1","photo","http://pbs.twimg.com/media/DW7LS1_XUAA8ESg.jpg","https://t.co/4gaDASGEU3","https://twitter.com/eemanabbasi/status/967934508543676416/photo/1",,"x2960723902","eemanabbasi","en",,,"x967934508543676416","name someone more dramatic than a man w the flu https://t.co/4gaDASGEU3",,,,,,,,,
"x972264813379440640",2018-03-10 00:16:09,"x3027954788","deborah75857164","RT @blakeshelton: Ok Louisiana... I’m ready! I’m damn sorry about canceling Saturday. But I’m over the flu now and gonna make up for it ton…","Twitter for Android",,,,FALSE,TRUE,0,454,,,,,,,,,,,,,,"x14920785","blakeshelton","en",,,"x971134411294019586","Ok Louisiana... I’m ready! I’m damn sorry about canceling Saturday. But I’m over the flu now and gonna make up for it tonight!",,,,,,,,,
"x972264805020049408",2018-03-10 00:16:07,"x243019322","r7yrb7","RT @dpakman: Bonus Show: Justice Department files a religious discrimination flu shot lawsuit, China's out-of-control space station will cr…","Twitter for iPhone",,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x21514744","dpakman","en",,,"x972245729849769985","Bonus Show: Justice Department files a religious discrimination flu shot lawsuit, China's out-of-control space station will crash down to earth, a Seattle judge rules on living in vehicles, and much more... https://t.co/QUnpPtYRU0",,,,,,,,,
