"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x928934761","Healthy World","HealthyWrld","United States","Follow us and start getting an healthy life. Real time health and fitness here!",,FALSE,23284,10508,144,139501,151,2012-11-06 03:33:19,FALSE,,,"en","https://pbs.twimg.com/profile_banners/928934761/1453231632","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/689529507770793984/evdriBai_normal.png"
"x937891707240308736","Greg Ripley","gripleyauthor","Minnesota, USA","Writer based in Minnesota. Debut novel, Voice of the Elders just released. Author of Tao of Sustainability (2016) #scifi #clifi #ecofiction #amwriting #dao","https://t.co/jCc0kvK41o",FALSE,2698,2416,22,5745,73,2017-12-05 03:49:43,FALSE,"https://t.co/jCc0kvK41o","http://gregoryripley.com","en","https://pbs.twimg.com/profile_banners/937891707240308736/1519342560",,"http://pbs.twimg.com/profile_images/968198486377353216/rq9fkj_p_normal.jpg"
"x2338761072","Iowa City Journal","iowacityjournal","Iowa City, IA","Curating the best media feeds in Iowa City. Part of the 400-city The Breaking News Network, the largest community news network supporting the social good","https://t.co/LHljY6Npja",FALSE,734,277,40,31961,0,2014-02-11 18:05:38,FALSE,"https://t.co/LHljY6Npja","http://tbnn.it/","en","https://pbs.twimg.com/profile_banners/2338761072/1463495039","http://pbs.twimg.com/profile_background_images/433854837726248960/29AqqRIo.jpeg","http://pbs.twimg.com/profile_images/732577291717353473/mUsj5Z_2_normal.jpg"
"x138484241","Ryann Brooks","neaira","Kansas, USA","Reporter-turned-Archivist-turned-Reporter, coffee addict, child wrangler (but only my own.) Sometimes I play video games. She/Her. Hyster sister.",,FALSE,285,559,22,30870,6570,2010-04-29 17:36:17,FALSE,,,"en","https://pbs.twimg.com/profile_banners/138484241/1517436435","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/950788851047559168/i5wNilO8_normal.jpg"
"x890280870627733505","Joseph O'Neill","JMONEILL1975","","a proud full time single father that supports and defends my daughter,our heritage,our beliefs,our rights,justice and our flag!#standforourkids #MAGA",,FALSE,223,317,1,5024,8845,2017-07-26 18:41:14,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/921687671956635648/ii3tLKhN_normal.jpg"
"x38703290","Harriet Hodgson","healthmn1","Rochester, MN, USA","Creative. Curious. Funny. Author of 36 books, thousands of articles, a contributing writer for three websites. Member of RRBC & RWISA","http://t.co/VN2MoyjdUd",FALSE,3889,4272,74,9443,327,2009-05-08 17:13:24,FALSE,"http://t.co/VN2MoyjdUd","http://www.harriethodgson.com","en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/624960086709043200/M_hJX9zm_normal.jpg"
"x18279249","Elin Marie","darlingdarling","Oakland, CA","INFJ, School Counselor, Cat Lady, IKEA Nerd, Feminist AF. Wifey to @followevoli.",,FALSE,320,285,6,11317,7281,2008-12-21 04:41:40,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/828844932831940608/0uWdv3ZD_normal.jpg"
"x60017790","🌴","farhanaz__","London, England","xoxo","https://t.co/FjDWeZ3wZO",FALSE,830,422,13,48767,43410,2009-07-25 08:45:56,FALSE,"https://t.co/FjDWeZ3wZO","https://curiouscat.me/Farhanaz","en","https://pbs.twimg.com/profile_banners/60017790/1507030425","http://pbs.twimg.com/profile_background_images/610043439/96qihbiqfcevlry1nx8u.jpeg","http://pbs.twimg.com/profile_images/967726526878887936/I-eB0cll_normal.jpg"
"x3027954788","dablack188@gmail.com","deborah75857164","Oklahoma, USA","",,FALSE,2,12,0,211,187,2015-02-19 00:26:12,FALSE,,,"en","https://pbs.twimg.com/profile_banners/3027954788/1424634316","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/914693201675669504/xyb7dtb3_normal.jpg"
"x243019322","Dave Longland 🌈","r7yrb7","57.31188 25.27456","Love critical thinking & reasoned argument. Hate the crafted fiction & false mythology of the rest. Feminist. If you've got a black list I wanna be onit",,FALSE,890,1717,27,23389,12690,2011-01-26 03:23:49,FALSE,,,"en","https://pbs.twimg.com/profile_banners/243019322/1389508827","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1244997937/Image_027__normal.jpg"
