"","x"
"V11",-79.3831843
"V12",-122.0651819
"V13",-79.0849436
"V14",-106.346771
"V15",-77.1527578
"V16",-72.9278835
"V17",-81.9320482
"V18",39.2375507
"V19",-95.712891
"V110",-80.8486846
"V111",-94.7335709
"V112",-115.1398296
"V113",-94.1632404
"V114",-115.1398296
"V115",-97.6744838
"V116",-83.555212
"V117",-80.0997657
"V118",-117.9389526
"V119",-77.0368707
"V120",-93.2009998
"V121",-74.2179326
"V122",-77.0368707
"V123",-74.0059728
"V124",-84.3879824
"V125",-95.3698028
"V126",-84.3879824
"V127",-79.6903316
"V128",-79.3831843
"V129",35.243322
"V130",-91.9876419
"V131",-71.9617688
"V132",-83.9207392
"V133",-93.6091064
"V134",-95.712891
"V135",-96.6705503
"V136",-93.9993996
"V137",-104.990251
"V138",-89.3985283
"V139",-95.0431997
"V140",-115.4733551
"V141",-77.4291005
"V142",-111.8723896
"V143",-84.3879824
"V144",-84.2807329
"V145",46.6789229
"V146",-119.4179324
"V147",-73.955995
"V148",133.775136
"V149",-71.5723953
"V150",-86.1349019
"V151",-77.0368707
"V152",-115.1175013
"V153",-115.1398296
"V154",-93.0899578
"V155",-111.9260519
"V156",-71.0588801
"V157",-77.1710914
"V158",-88.2247031
"V159",-115.1398296
"V160",-74.0059728
"V161",-95.9979883
"V162",-88.7878678
"V163",-92.7232456
"V164",-116.419389
"V165",-97.394463
"V166",-87.6297982
"V167",-87.6297982
"V168",-89.8070097
"V169",-77.0947092
"V170",-97.7430608
"V171",-70.162651
"V172",-120.6412827
"V173",-74.2401609
"V174",-91.9623327
"V175",-79.3831843
"V176",-115.1398296
"V177",-99.9018131
"V178",-77.026088
"V179",-74.0059728
"V180",-75.977985
"V181",-81.2058208
"V182",-114.0708459
"V183",106.7853922
"V184",-77.0368707
"V185",-79.3831843
"V186",-122.3320708
"V187",-122.1817252
"V188",-74.0059728
"V189",-96.8236116
"V190",-82.9987942
"V191",-121.1930041
"V192",-77.026088
"V193",-77.0368707
"V194",0.290472
"V195",-71.1097335
"V196",-73.7867428
"V197",-79.3831843
"V198",-104.990251
"V199",-71.0588801
"V1100",-68.6719411
"V1101",-117.1610838
"V1102",106.9340133
"V1103",-79.3831843
"V1104",-80.0942087
"V1105",-80.0942087
"V1106",-122.6059582
"V1107",-75.1969346
"V1108",-106.346771
"V1109",-86.5263879
"V1110",-3.7849057
"V1111",-82.907123
"V1112",-73.9441579
"V1113",-75.6971931
"V1114",-122.4014193
"V1115",-82.3940104
"V1116",-82.3940104
"V1117",-86.8897655
"V1118",-95.712891
"V1119",-82.907123
"V1120",-74.7801645
"V1121",-77.0368707
"V1122",-115.1398296
"V1123",-93.0899578
"V1124",-99.9018131
"V1125",37.6172999
"V1126",-77.0368707
"V1127",-118.1084392
"V1128",-77.0368707
"V1129",-77.0368707
"V1130",-69.4454689
"V1131",-122.4077498
"V1132",-77.1527578
"V1133",-95.6937856
"V1134",-122.4194155
"V1135",-0.1477681
"V1136",-122.2913078
"V1137",-72.9278835
"V1138",34.851612
"V1139",-74.0059728
"V1140",-84.6330115
"V1141",-74.0059728
"V1142",-78.866111
"V1143",-97.4107128
"V1144",-74.0059728
"V1145",-74.0059728
"V1146",-75.085295
"V1147",-96.7969879
"V1148",-87.1386067
"V1149",-97.092877
"V1150",-118.2436849
"V1151",-84.3879824
"V1152",-79.3831843
"V1153",-85.6811017
"V1154",-89.9751266
"V1155",-81.7981908
"V1156",-71.4128343
"V1157",-82.9376804
"V1158",-82.0131924
"V1159",-79.4084652
"V1160",-81.2452768
"V1161",-95.971261
"V1162",-84.5120196
"V1163",-78.6381787
"V1164",-106.346771
"V1165",74.3587473
"V1166",-84.2807329
"V1167",-75.6971931
"V1168",-100.4602762
"V1169",-79.8744836
"V1170",-79.0192997
"V1171",-86.456138
"V1172",-82.9987942
"V1173",-94.0138393
"V1174",-118.6284245
"V1175",-77.042754
"V1176",-80.1917902
"V1177",-71.1097335
"V1178",-77.0368707
"V1179",-77.0368707
"V1180",-123.8052935
"V1181",-86.730953
"V1182",-78.6568942
"V1183",-94.846681
"V1184",3.876716
"V1185",-101.677883
"V1186",-66.4619164
"V1187",-84.4643744
"V1188",-74.0059728
"V1189",-73.9441579
"V1190",-90.231657
"V1191",-71.4774291
"V1192",-79.9310512
"V1193",-115.1398296
"V1194",-111.8991668
"V1195",25.7481511
"V1196",-95.4112203
"V1197",-115.1398296
"V1198",46.6752957
"V1199",-2.970721
"V1200",-95.712891
"V1201",-4.2026458
"V1202",-2.58791
"V1203",-95.712891
"V1204",16.3738189
"V1205",-86.5804473
"V1206",-74.0059728
"V1207",-88.5820107
"V1208",-74.0059728
"V1209",-115.1398296
"V1210",-106.0036556
"V1211",-115.1398296
"V1212",-117.1610838
"V1213",-1.1743197
"V1214",47.9812152
"V1215",5.2057909
"V1216",-115.1398296
"V1217",-84.1916069
"V1218",-74.8069813
"V1219",-84.3879824
"V1220",-98.7623874
"V1221",-119.4179324
"V1222",-97.5164276
"V1223",133.775136
"V1224",-87.6297982
"V1225",-93.0537839
"V1226",-95.712891
"V1227",-70.6085886
"V1228",-82.9987942
"V1229",-80.3553302
"V1230",-74.6672226
"V1231",-115.1398296
"V1232",-115.1398296
"V1233",-79.3831843
"V1234",-95.712891
"V1235",-97.092877
"V1236",101.686855
"V1237",-95.712891
"V1238",-122.2913078
"V1239",39.2083284
"V1240",-121.4943996
"V1241",-80.3553302
"V1242",-77.0368707
"V1243",-74.0059728
"V1244",-85.323214
"V1245",-121.9780153
"V1246",-106.346771
"V1247",-79.9958864
"V1248",-87.6297982
"V1249",-93.2650108
"V1250",-76.8720961
"V1251",-84.3879824
"V1252",-95.712891
"V1253",-115.1398296
"V1254",-115.1398296
"V1255",-118.2436849
"V1256",-71.0588801
"V1257",-111.8910474
"V1258",-96.8236116
"V1259",-77.5425986
"V1260",42.7378758
"V1261",-77.0368707
"V1262",-97.5164276
"V1263",-77.0368707
"V1264",-117.1610838
"V1265",-122.0651819
"V1266",-93.097702
"V1267",-76.915807
"V1268",-79.3831843
"V1269",-75.5276699
"V1270",80.256307
"V1271",-75.6971931
"V1272",-103.6238367
"V1273",-103.7999509
"V1274",-74.0059728
"V1275",-74.0059728
"V1276",-122.2913078
"V1277",-87.5286325
"V1278",-96.126019
"V1279",-77.2013705
"V1280",-93.0899578
"V1281",12.5683372
"V1282",-95.712891
"V1283",-97.8019515
"V1284",-85.6023643
"V1285",-77.0368707
"V1286",-81.3792365
"V1287",-77.0368707
"V1288",-122.0307963
"V1289",-81.1637245
"V1290",-77.0368707
"V1291",-99.9018131
"V1292",-95.712891
"V1293",-71.3161718
"V1294",-76.6412712
"V1295",-77.0368707
"V1296",-80.085059
"V1297",-87.6297982
"V1298",-83.8305144
"V1299",-94.8191285
"V1300",-99.9018131
"V1301",-120.5542012
"V1302",-77.0368707
